page,eng,twi
3,absorb,Anonom
3,absorb,nonom
3,acceleration,Ne mirika
3,acid rain,soro nsu a asid wom
3,action,Adeyɔ
3,adapt,Fa wo ho gye mu (sakra)
3,adapt,Fa wo ho gye mu (sesa)
3,adaptation,Sɛ wode woho regye (nsakrae)
3,adaptation,Sɛ wode woho regye (nsesae)
3,adjust,Danedane
3,adult,ɔpanyin
3,advantage,Ediboa/mfaso a ɛwɔ biribi so
3,affect,Ka a ɛka obi/biribi
3,air,Mframa
3,air mass,mframa mu duru
3,air pressure,mframa tumi
3,air resistance,mframa a ɛkotia
3,alternate,Ɛsesa sesa
3,alto,Enne a ɛwɔ soro/fam
3,amount,Ne dodoɔ
3,amphibian,Aboa a otumi tena nsuo mu ne asase so
3,amplitude,Abuso
3,analyze,Hwehwɛ mu
3,anatomy,Abosuo (mmoa bɔbea)
3,ancestor,Nananom
3,ancient,Tete
3,anemometer,Afidie a esusu mframa mmirika
3,angle,Angle
3,animal,Aboa
3,Animalia,Mmoadoma
3,antibiotic,Aduro a ɛkotia mmoawa
3,antibody,Aduro bi a ɛwɔ nipadua mu yɛde ko tia yareɛ
3,appliance,Yɛde di dwuma (adwinnade)
3,apply,Fa yɛ adwuma (fa di dwuma)
3,appropriate,Ɛfata
3,approximately,Fa w'anibu
3,arrange,Hyehyɛ
3,artery,Ntini a mogya a efri akomam no fa mu
3,arthropod,Aboa a onni kasɛɛ
3,asexual,Onni bɔbeasu
3,assemble,Boa ano
3,asteroid,Wiemboba
3,astronomer,Nimdefoɔ ɔhwɛ wiemu nneɛma
3,atmosphere,Ewiem nsɛm
3,atom,Atom
3,atomic number,Atom nɔma
3,attract,Twe ba wo ho
4,automatic,Ɛyɛ dɛn ara a ɛbɛba
4,automatic,Ɛtaa yɛ ade a nipa/afoforo mmoa nka ho
4,available,Ɛwɔ hɔ
4,axis,Ntwaho dua
4,bacteria,Aboawa
4,balance,Nsɛnɛɛ
4,balance,Nsɛnia
4,balance,ɛyɛ pɛ
4,balanced forces,Ahoɔden a ahodoɔ a ɛyɛ pɛ
4,balanced forces,tumi hororw a ɛyɛ pɛ
4,bar graph,Nkonta mu nfonin
4,bare,Ɛho da hɔ
4,barometer,Afidie a esusu eweim tumi
4,battery,Batre
4,bed,Mpa
4,behavior,Suban
4,beneficial,Ediboa/mfaso a ɛwɔ so
4,benefit,Nnepa/mfaso
4,best,Papapaa a ɛwɔ mu
4,best,nea eye paa
4,big bang,Kwan a ewiase hyɛɛ aseɛ
4,binary fission,Emu paepae mmienu
4,biomass,Tumi a efri nnua hyɛɛ mu
4,bird,Anomaa
4,blink,Bɔ w'ani
4,blizzard,Asukɔyea
4,blizzard,asukɔtweaa a ano yɛ den
4,block,Si kwan
4,blood tissue,Mogya mu adeɛ
4,blood tissue,nneɛma
4,blood vessel,Ntini a mogya fa mu
4,blossom,Eyi nhwere
4,blossom,ɛyɛ fɔmfɔm/egu nhwiren
4,boil,Ehuru
4,boiling point,Berɛ a ehuru
4,bone tissue,Dompe mu adeɛ
4,bounce,Ehurihuri
4,brain,Adwene
4,brain,amemene
4,bronchi,Ntini nketenkete wɔ aherawa mu
4,bundle,Bɔ no boa
4,bundle,ka bom/kyekyere
4,buoyancy,Etumi tetɛ nsu ani
4,buoyancy,emu yɛ hare
4,buoyant force,Tumi a etumi ma adeɛ tetɛ nsuo ani
4,calcium,Kalseɔm
4,calculator,Afidie a yɛde yɛ nkonta
4,calorie,Aduane duro
4,camera,Afidie a etwa nfonin
4,camouflage,Ayɛ ne ho sɛ
4,cancer,Kokoram
4,capillary,Ntini nketenkete paa
4,capture,Kyere
5,carbohydrate,Kabohaidrete
5,carbon (C),Kaabɔn
5,carbon dioxide (CO2),Kaabɔn a oksegen mmienu tareho (mframa bɔne)
5,cardiovascular system,Akoma ne ntini ho nhyehyɛeɛ
5,carnivore,Aboa a ɔwe mmoa foforɔ nkoa
5,carnivore,Aboa a ɔwe nam mono nkutoo
5,category,Akuo
5,caterpillar,Osa
5,cause-end-effect relationships,Nea ɛde ba ne nea efri mu ba
5,celestial,Ɛwɔ wiem
5,cell,Sɛll (nkwammoa)
5,cell cycle,Sɛll ntwaho (nkwammoa kyinhyiadi)
5,cell division,Sɛll nkyekyemu (nkwammoa nkyekyɛ mu)
5,cell membrane,Ntoma a adura sɛll ho (nkwammoa nnuraho)
5,cell theory,Sɛll ho adesua (nkwammoa ho nkyerɛkyerɛ)
5,cell wall,Sɛll ho afasuo (nkwammoa ho fasu)
5,cellular respiration,Sɛll mu ahome (nkwammoa ahome)
5,Celsius (°C),Selhyios (selsiɔs)
5,cement,Somente
5,centimeter (cm),Sentimeter
5,central nervous system,Adwene mu
5,chain,Ɛsesaso (Ɛtoatoa so/kɔnsɔnkɔnsɔn)
5,change,Ɛsesa
5,change of direction,asesa baabi a n’anihwɛ (asesa baabi a ani kyerɛ)
5,change of motion,Asesa n’ahokeka
5,change of speed,Asesa ne mmirika
5,characteristic,Ne su
5,chart,Nfonin
5,chemical,Aduro
5,chemical bond,Aduro no mfamho
5,chemical change,Aduro nsesae
5,chemical energy,Aduro no ahoɔden
5,chemical equation,Aduro ne afanu a ɛyɛ pɛ
5,chemical property,Aduro ne su
5,chemical reaction,Aduro mu nsusuansoɔ
5,chemical system,Aduro mu nhyehyɛeɛ
5,chemical weathering,adeweweɛ a efri aduro
5,chlorophyll,Aduro a ɛwɔ ahahan momono mu
5,chloroplast,Baabi ahahan mu aduro wɔ
5,choose,Yi/paw
5,chromosome,Kromosome
5,cinder cone volcano,Egya a efri bepɔ mu a ayɛ sɛ sinda kone
5,circuit,Ade etwane ho besi n’akyi
5,circulation,Ɛfefa baabi (kyinhyiadi)
5,circulatory system,Nhyehyɛeɛ a ɛma adee fefa baabi (sɛnea mogya di kyinhyia)
5,cirro-,Ayɛsɛ mununkum a ɛyɛ nsensaneɛ
6,cirrus cloud,mununkum a ɛyɛ nsɛnsaneɛ
6,classification,Y'ahyehyɛ no akuoakuo
6,classify,Hyehyɛ no akuoakuo
6,climate,Ewiem nsɛsaeɛ
6,cloning,Wore nwene adeɛ bi nsɛso pɛpɛɛpɛ
6,cloud,Mununkum
6,coal,Asaase mu bidie
6,code,Kodu (ahyɛnsode/akwankyerɛ)
6,cold front,Mframa nwununwunu
6,collect,Gyegye
6,collide,Apem
6,color,Ahosuo
6,column,Afa
6,comet,Asukɔkyea a ɛwɔ wiem a ɛbɔhyeɛ yiyi mframa (nsoroma ketewa bi a etwa owia ho hyia)
6,comfortable,Ahodwoɔ/ahotɔ
6,communicate,Dinkitaho
6,community,Mpɔtɛmo
6,compare,Fatoto ho
6,compass,Afidie a ɛma akwankyerɛ
6,competition,Akansie
6,complex carbohydrate,Kabohaidrete a ɛyɛ nwonwonan
6,compose,Twa/yɛ biribi
6,composite volcano,Egya a efri bɛpɔ mu na ɛyɛ mmɔho
6,composition,Nneɛma a ɛwɔ mu
6,compost pile,Nwura a aboaano na ɛreprɔ
6,compound,Mmɔhommɔho
6,compound microscope,Afidie a ɛhwɛ nea ani ntumi nhunu
6,compress,Moa/mia so
6,Compression,Ademoa
6,Computer,Komputa
6,Conclude,Wie
6,Conclusion,Awieɛ
6,condensation,Sɛ mframa redane nsuo
6,condense,Mframa dane nsuo
6,condition,Tebea
6,conduct,Ahoɔden tumi famu
6,conduction,Sɛ ahoɔden refamu
6,conductors,Adeɛ a ahoɔden tumi famu
6,consequences,Nsunsuansoɔ
6,conservation,Adekora
6,conservation of energy,Ɛrekora ahoɔden
6,conservation of mass,Ɛrekora emuduro
6,conserve,Kora
6,consist of,Nea ɛwɔ mu
6,consistent,Entaa nsesa
7,constant,Egyina faako
7,construct,Si
7,consumer,Nea odie
7,contain,Sɔ ano
7,container,Nea yɛde adeɛ gu
7,content,Nea ɛwɔ mu
7,continent,Asaasetam
7,contrast,Fa to nsɛnɛɛ (nsɛnia) ani/kyerɛ nsonsonoe a ɛwom
7,control,Di so
7,controlled experiment,Nsɔhwɛ a ani wɔ ho
7,convection,Tumi a ɛnam nsuo mu
7,coordinate,Toto nneɛma
7,coordination,Ntotoɛ
7,core,Ne mfinfin
7,covalent bond,Kofalent mfamho
7,create,Nwene
7,crest,Atifi
7,crop,Nɔbaeɛ
7,crust,Ɛho
7,crystal,Ɛboɔ hyɛnhyɛn
7,crystallization,Ɛredane boɔ hyɛnhyɛn
7,cubic,Kubik
7,cubic centimeter,Kubik sɛntimeta
7,cure,Ayaresa
7,cycle,kyinhyia
7,cytoplasm,Nsuo a sɛll (nkwammoa) mu.
7,daily,Da biara da
7,dam,Su tadeɛ
7,data,Data
7,data table,Data pono
7,daughter cell,Sɛll a apae efri foforɔ mu
7,daylight,Awiabrɛ han
7,decay,Aprɔ
7,decomposer,Deɛ ɛma adeɛ prɔ
7,decrease,Eso ate
7,defend,Banbɔ
7,deficient,Ɛtɔsini
7,define,Kyerɛ aseɛ
7,definite,Ɛtɔɔtwa
7,delta,Delta
7,density,Emu duro
7,dependent variable,Deɛ ɔdan obi
7,deposition,Y'atu w'adeɛ so
7,derived,Yɛ nya fri biibi mu
7,descend,Sane
8,descendants,Asefoɔ
8,describe,Kyeremu
8,desert,Ɛsrɛso
8,design,Sɛdeɛ yesi anwene
8,design scientific investigations,Hyehyɛ abɔdeɛ mu nyansapɛ nhwehwɛmu
8,determine,Kyerɛ
8,develop,Yɛ
8,development,Adeyɛ
8,development,nkɔso
8,diagram,Nfonin
8,dichotomous key,Anwenade a wohyɛ abɔdeɛ nso
8,difference,Nsonsoneɛ
8,digest,Yam wɔ wo yam
8,digestion,Yafunu mu aduane yam
8,digestive system,Yafunu mu aduane yam nhyehyɛeɛ
8,direct,Kyerɛkwan
8,directions,Akwankyerɛ
8,directly,Pɔtee
8,disappearing trait,Esu a ɛre yera
8,discuss,Di ho nkɔmmɔ
8,disperse,Ahyeta
8,disperse,apete
8,dissolve,Ahono
8,distance,Kwan bi tenten
8,distinctive,Ɛdanso
8,distribute,Kyekyɛ
8,disturb,Teetee
8,diversity,Asɔɔtoo
8,diversity,ahorow
8,DNA,DNA
8,dominant,Nhyɛsodeɛ
8,dominant gene,Gene a ɛhyɛ foforɔ so
8,draw,Dwi
8,dump,Totwene
8,earth,Ewiase
8,earth,asase
8,earthquake,Asaase wosoɔ
8,earthworm,Sonsono
8,echo,Nnyegyɛɛ
8,eclipse,Bosome akye awia
8,ecological succession,Sɛdeɛ abɔdeɛ a ete ase abrabɔ sesa wɔ berɛ dodoɔ bi mu
8,ecology,Sɛdeɛ abɔdeɛ a ete ase de wɔn ho nsawɔsoɔ wɔ wɔn tenabea
8,ecosystem,Abɔdeɛ nyinaa ne wɔn tenabea
8,effect,Nsunsuansoɔ
8,efficient,Ɛyɛ n’adwuma yie
8,egg,Kosua
8,electric current,Nyinam tumi (anyinam ahoɔden)
8,electrical,Ɛfa nyinam ho
8,electrical circuits,Nyinam ahoɔden ntwaho
9,electrical energy,Nyinam ahoɔden mu tumi
9,electricity,Nyinam ahoɔden
9,electromagnet,Elɛktromagnete
9,electromagnetic spectrum,Elɛktromagnete akwaban
9,electromagnetic waves,Elɛktromagnete ahoɔden amunimuni
9,electromagnetism,Ɛfa Elɛktromagnete ho
9,electron,Elɛktron
9,elements,Abɔdeɛ mu nneɛma
9,elevation,Mpegya
9,elevation,ma so
9,elliptical,Ayɛ te sɛ kosua krukruwa ye
9,emit,Epu
9,endangered species,Abɔdeɛ a wɔn ase ɛreyɛ ahye
9,endocrine system,Nnuro bi a ekyi gu mogya mu ho nhyehyɛɛ
9,endothermic,Emu bɔhyew (egyina ɔhyew so ye)
9,energy,Tumi
9,energy,ahoɔden
9,energy flow,Ahoɔden nsaneɛ
9,energy pyramid,Ahoɔden piramede
9,energy resources,Ahoɔden ho nneɛma
9,ensure,Hwɛ sɛ
9,environment,Mmɔntenso (mpɔtam)
9,Environmental,Ɛfa mmɔntenso ho (ɛfa mpɔtam ho)
9,environmental changes,Mmɔntenso nsesaeɛ (nsakrae a ɛba mpɔtam)
9,epithelial,Adeɛ a ɛdura nnipam akwaa horow ho
9,equal,Ɛyɛ pɛ
9,equation,Afanu pɛrepɛreyɔ
9,equator,Asaase mfinfin
9,equilibrium,Pɛyɛ
9,erosion,Susuan
9,error,Mfomsoɔ
9,esophagus,Honhon (menem)
9,establish,Te (si/yɛ/kyerɛ)
9,estimate,Fa w'anibu
9,estimation,Deɛ yɛde aniabu
9,eukaryotic,Abɔdeɛ a ne sell wɔ nuklɔs
9,evaluate,Susu
9,evaporate,Dane ntutuo
9,evaporation,Ɛdane ntutuo
9,evidence,Adanseɛ
9,evolution,Abɔdeɛ mu sesaeɛ fiti abɔdeɛ ahyeaseɛ (adaanandi)
9,example,Mfatoho/nhwɛso
9,exchange,Edi nsesa
9,excrete,Nipadua no yi fi pue
9,excretion,Se nipadua no reyi fin pue
9,exoskeleton,Nnompe a ɛwɔ aboa ho
9,exothermic,Ɛho hyew
9,expand,Bae/bue mu
10,experiment,Nhwehwɛmu (sɔ biribi hwɛ)
10,explain,Kyerɛaseɛ (kyerɛkyerɛ mu)
10,explanation,Nkyerɛaseɛ (Nkyerɛkyerɛ mu)
10,express,Dan adi (Da no adi)
10,external,Abɔnten
10,extinct,Aseɛ ahye
10,fact,Nokwasɛm
10,factor,Deɛ nti
10,Fahrenheit (°F),Fahrenheit (°F)
10,fat,Sradeɛ
10,fault,Atɔkyew
10,fault,mfomso
10,feature,Su
10,features,Su ahodoɔ
10,female sex cell,Mmaa sɛll a efa nna nsɛm ho (mmea bɔbeasu nkwammoa)
10,fertilization,Sɛ kosua repae (sɛ ɔbarima nkwammoa ne ɔbea nkesua bedi afra)
10,fertilized,Kosua apae (sɛnea ɔbarima nkwammoa ne ɔbea nkesua di afra)
10,fertilizer,Fetilaisa (ɔyɛ asase yiye)
10,fiber,Nhomanhoma
10,fish,Apataa
10,fish,nam
10,fixed pulley,Dadeɛ a etim hɔ na hama sesa baabi a ɛtwe adeɛ
10,flood,Nsuyiri
10,flow chart,Adesua nfonin a ɛkyerɛ biribi
10,flower,Nhweren (nhwiren)
10,fluid,Nsuonsuo
10,folded,Abobɔ
10,food,Aduane
10,food chain,Aduane nkɔnsɔnkɔnsɔn
10,food web,Aduane ntentan
10,for every action there is an equal or opposite reaction,Nneɛ biara no wɔ ho muaeɛ a anohyeɛ no yɛpɛ
10,force,Ahɔɔden
10,forecast,Wore kyerɛ deɛ ebetumi asi daakye
10,form,Nwene
10,formation,Adenwene
10,former,Deɛ edi anim
10,formula,Nea wonam so nya muaeɛ
10,formulate,Nwene
10,fossil,mfueɛ ne mmoa nkaedeɛ
10,fossil fuel,Adeɛ a etumi sɔ egya mfueɛ ne mmoa nkaedeɛ
10,freezing,Ɛredane nsuboɔ
10,frequency,Berɛ dodoɔ a ɛtae si
10,friction,Twitwiri
10,front,Anim
11,fruit,Aduaba
11,fuel,Adeɛ a etumi sɔ egya
11,filter,Nsɔnesɔ
