page,eng,twi
3,absolute value,nɔma a nkyekyem nka ho( nɔma a edi mu)
3,accurately label work,wato din pɛpɛɛpɛ
3,adapt,fɛm (nsakrae)
3,additive inverse,"nɔma a wode ka foforo ho a, wunya hwee/sɛro"
3,adjacent,ediso (nkyɛn)
3,adjacent side of a triangle,traiangil fa bi nkyɛn
3,algebra,nkonta a wode agyiraehyɛde di dwuma
3,algebraic equation,nkonta fa a wode agyiraehyɛde ayɛ afanu pɛpɛɛpɛ
3,algebraic expression,nkonta fa a wɔmmfa nɔma nni dwuma
3,algebraic inequalities,nkonta fa a wode agyiraehyɛde yɛ afanu a ɛnyɛ pɛ
3,algebraic pattern,nkonta fa a agyiraehyɛde wom wɔ kwan bi so
3,algebraic solution,nkonta fa a agyiraehyɛde wɔmu no anoyie
3,algebraically,kwan a wɔmmfa nɔma ankasa nni dwuma
3,alternate exterior angle,angil a edi nsesa wɔ abɔnten/adiwo
3,alternate interior angles,angil a edi nsesa wɔ mu
3,altitude,ne tenten(ne korɔn)
3,analyze,hwehwɛ mu/pɛnsɛnpɛnsɛn mu/feefee mu
3,angle bisector,deɛ ɛkyɛ angil mu pɛpɛɛpɛ
3,angle pairs,angil no afanu
3,apply,fa di dwuma
3,apply a variety of strategies,fa nhyehyɛee ahorow di dwuma
3,appropriate mathematical terms,nkontabude a ɛfata
3,approximation,dodow a ɛbɛyɛ sɛ
3,arc,kanko ntwaho fa bi
3,area,beae
3,area of a circle,kanko bi mu kɛse
3,argument,anodisɛm (ntease/adwenkyere)
3,arithmetically,ɛnam nɔma adaneadane so (akontaabu so)
3,associative property of addition,nkabom fa a wosesa nɔma akwan miɛnsa so a wonya mmuaeɛ krɔ no ara
3,associative property of multiplication,"mmɔho fa a wosesa nɔma akwan miɛnsa so a, wonya mmuaeɛ krɔ no ara"
3,base (of percent),aseɛ (ɔha nkyemu ho)
3,base of a 2-dimensional shape,nfonin a ɛwɔ afa 2 ase
3,base of a 3-dimensional shape,nfonin a ɛwɔ afa 3 ase
3,base ten number system,nɔma nhyehyɛee ase du (nɔma a ennu du ho nhyehyɛe)
3,binomial,nkonta fa a wɔka afanu mienu bom a anaa wɔte frimu
3,bisector,ɛkyɛ adee mu mienu pɛpɛɛpɛ
3,calculate,sese (bu/kyerɛ)
3,calculate distance,sese kwan no tenten (bu/kyerɛ kwan no tenten)
3,calculate unit price,sese (bu/kyerɛ) ankorankorɛ boɔ
3,calculate volume,sese (bu/kyerɛ) emu kɛseɛ
3,Celsius,Selsiɔs
3,central angle,angil a ɛhyɛ mfinmfin
3,chord,nsanee a ɛka mmeae abien wɔ mfonin bi mu
4,circle,kanko (kurukuruwa/kontonkron)
4,circle graph,kanko ho nfonin
4,circumference,kanko ho tenten
4,clarifying questions,nsɛmmisa a ɛma nkyerɛmu
4,coefficient,nɔma a yɛde yɛ mmɔho
4,coherent,esisiso (ɛtoatoam)
4,collaboration,nkabom (koroyɛ/biakoyɛ)
4,combine like terms,keka neɛma a ɛyɛ ne sɛso bom
4,commission,mfasoɔ
4,commutative property of addition,nkabom fa a wosesa nɔma akwan mmienu so a wonya muaɛɛ krɔ no ara
4,commutative property of multiplication,mmɔho fa a wosesa nɔma akwan mmienu so a wonya muaɛɛ krɔ no ara
4,compare strategies,fa nhyehyɛe ahorow toto ho
4,compare unit price,fa ankorankorɛ bɔɔ toto ho
4,Compass,Afidie a ɛkyerɛ faako a wogyina (afiri a ɛkyerɛ kwan)
4,complementary angles,angil mmienu a ɛka bom yɛ 90
4,compound events,dwumadie a muaɛɛ ahodoɔ pii tumi fri mu ba
4,comprehend,te aseɛ
4,conclusion,n'awieɛ/awiei
4,conduct,yɛ (hwɛ so/suban)
4,congruent,tumi da so pɛpɛɛpɛ (ɛsɛ/ɛyɛ pɛ)
4,conjecture (noun),agyinasie a ne nyinsoɔ sua (nea wɔde adwene abu)
4,conjecture (verb),sɛ woresi gyinaeɛ a ne nyinsoɔ sua (fa w'ani/w'adwene bu biribi)
4,connections,nkitahodi ahorow
4,consecutive integers,nɔma a ɛtoatoaso
4,consolidate,ka bom na ɛnyɛ mu
4,constraints,akwanside ahorow
4,construction,adesie (adansi/biribi a wɔyɛ)
4,convert money,sesa sika
4,convert capacity within a given,sesa tumi a ɛwɔ adeɛ mu
4,convert mass within a given system,sesa mass a ɛwɔ nhyehyɛe bi mu
4,convert volume within a given system,sesa nhyehyɛe bi mu kɛseɛ
4,convert within a given system,sesa wɔ nhyehyɛe bi mu
4,coordinate geometry,geomɛtri akontaabu a wɔde ahyɛnsode di dwuma
4,corresponding angles,angil ahorow a edi nsɛ
4,corresponding sides,afa a ɛwɔ baabi krɔ
4,counterexample,mfatoho a etwa foforo mu
4,counting (natural) numbers,nɔma ankasa a yɛkenkan
4,counting numbers,nɔma a yɛkenkan
4,cup,kuruwa
4,customary units of capacity,agyiraehyɛdeɛ a yɛde sese tumi
4,customary units of mass,agyiraehyɛdeɛ a yɛde sese ade mu duru
4,data,nsɛm
5,decode,kyerɛ ase
5,defend,bɔban (bɔ ho ban)
5,degree of a polynomial,pɔlinomial no mpɛmpɛnsɔɔ
5,density,emu duro
5,dependent events,dwumadie a enya nsunsuansɔɔ wɔ ɔfoforɔ so
5,describe,kyeremu (kyerɛ sɛnea ɛte)
5,develop formulas,yɛyɛ kwan a wɔde di ho dwuma ahodoɔ
5,diameter,nsaneɛ a ɛkyɛ kanko mu mienu pɛpɛɛpɛ
5,differentiate,kyerɛ nsonsoneɛ
5,dilate,huhuru (bue mu/trɛw mu/kyerɛ mu)
5,dilation,ɛhuhuru (ntrɛw mu/nkyerɛkyerɛ mu)
5,dimensions,n'akasee/afa ahorow tenten
5,discuss,di ho nkɔmmɔ
5,distance,kwan no tenten
5,distinguish,kyerɛ nea ɛda nso (kyerɛ nsonsonoe a ɛwɔ mu)
5,distributive property,nkonta fa a ɛma wo de nneɛma de mmɔho nɔma di dwuma nkonkoro
5,domain,ne dɛɛ mu (nea ɛwom)
5,double bar graph,mmaa a ɛbɔ ho mmienu nkonta nfonin
5,double line graphs,nsaneɛ a ɛbɔ ho mmienu nkonta nfonin
5,draw a graph,dwi nkonta nfonin
5,draw a picture,dwi nfonin ankasa
5,draw conclusions,kyerɛ ase/nea efi mu aba
5,equation,afanu a pɛrepɛre da ntam
5,equation of a line,nsaneɛ a wɔde nɔma ahorow akyerɛw
5,equidistant,kwan abien no tenten yɛ pɛ
5,equivalent customary units of,nea ɛne agyiraehyɛdee a yɛde susu yɛ pɛ
5,equivalent fractions,nɔma sini a ɛyɛ pɛ
5,equivalent numerical expressions,nɔma ntwerɛɛ a ɛyɛ pɛ
5,equivalent ratios,nkyekyemu a ɛyɛ pɛ
5,estimate,fa w'ani susu (fa w'ani bu)
5,evaluate,pɛsɛnpɛnsɛn mu (kyerɛ/bu sɛnea ɛte)
5,evaluate conjectures,pɛsɛnpɛnsɛn agyinasie a ne nyinasɔɔ sua
5,evaluate efficiency,pɛsɛnpɛnsɛn n'ahoɔden mu
5,exchange rate table,nea yegyinaso de yɛ nsesa pono
5,expenses,ka ahorow
5,explain,kyerɛkyerɛ mu
5,explore,wurewura mu (hwehwɛ mu)
5,exponent,nɔma bi ankasa mmɔho agyiraehyɛde
5,exponential form,adepegya ho tebea
5,extend,tene mu
5,exterior angle,angil a ɛwɔ mfonin bi akyi
5,extremes (of a proportion),mmoroso
5,faces and bases,anim ne aseɛ ahodoɔ
5,of cones,kones de
6,of cylinders,silinda de
6,of prisms,prism de
6,of pyramids,pyramid de
6,factor,nɔma a etumi kyɛ foforo mu pɛpɛɛpɛ
6,Fahrenheit,fahrenheit
6,favorable outcome,nea efri mu ba a eye
6,fixed distance,kwan tenten a yɛatwa ato hɔ
6,formally,nea eye
6,formally,nea wogye tom
6,formula,nea wonam so nya mmuaeɛ
6,formulate,nwene
6,formulate mathematically,nwene no nkonta kwan so
6,fraction,nɔma sini (nkyekyɛmu)
6,frequency,berɛ dodoɔ (mpɛn dodow)
6,frequency table,berɛ dodoɔ pono/nhyehyɛe
6,function,adeyɔ (akontaabu asɛm)
6,function notation,adeyɔ nsiananmu (akontaabu asɛm nkyerɛwde)
6,function rule,adeyɔ ho mmara (akontaabu asɛm bi ho mmara)
6,fundamental counting principle,adekenkan nhyeaseɛ ho mmara
6,gallon,galɔn
6,generalizations,ma ne mfa ade biara ho
6,geometric shape,geometri ho abosuo
6,geometry,geometri
6,Graphically,ɛho mfonin twa (mfonin kwan so)
6,gratuity,nnaseɛ sika
6,greatest common factor,nɔma a etumi kyɛ mu a ɛso sen biara
6,height,ne tenten kɔ soro (ne sorokɔ)
6,histogram,histogram mfonin
6,hypotenuse,haipotenus
6,ideas,adwenepɔ ahorow
6,identity,nɔma a ɛmfa nsakrae mma foforo so
6,identity element,nea ɛmfa nsakrae mma foforo so
6,identity property of addition,nkabom mu nsakrae a ɛmma
