page,eng,twi
3,adoa,Kwadwo Birefi adowa
3,otwe,Mpesinianka-na-ɛfiri-bɔfoɔ
3,eyuo,Kwasi
3,otoromo,Saakwa
3,wansane,Mmommire
3,kɔkɔte,Gyambibi
3,ɛkoɔ,Asimpi
3,oforoteɛ,Pantan
3,ɔsɔnsɔn,Ofuntum-kwaw
3,gyata,Eserem - see
3,ɛsono,Bonin - korɔ - ɔbu - akuma
3,kɔkɔte,Asamoa
3,ɔkwaduo,Boapampa
3,ɛfoɔ,Yaa
4,scorpion,akekantwerɛ
4,scorpion,nyanyankyerɛ
4,scorpion,Nyankopɔn-ba-kwesikɔtɔ
4,belly,oyafunu
4,belly,yafun
5,a,blako
5,a,baako
5,a,ekor
5,Aaron,animtefoɔ
5,aback,akyi
5,aback,akyire
5,aback,ekyir
5,Taken aback,ahodwiri
5,Taken aback,wahaw
5,abacus,afidle bi a wɔde kan sika
5,abandon,gyaw
5,abandon,gyae
5,abandon,gyaa
5,abandon,ahosan
5,abandoned,ohununl
5,abandoned,ohuhunl
5,abandoned,huhunyi
5,abandoned,w'adwane agya no
5,abase,brɛ ase
5,abase,brɛ adze
5,abash,gu anim ase
5,abash,gu anim ase
5,abash,gu enyim ase
5,abate,dwo dwo
5,abate,dwe
5,abattoir,nankwaasedan
5,abattoir,nankumee nankum bea
5,abbess,asɔre-mmaakuo panyin
5,abbey,asɔre adan a asɔfoɔ ne mmaa asɔfoɔ teɛ
5,abbot,asɔfo kokokrani panyini
5,abbreviate,twa so
5,abbreviate,twa so
5,abbreviate,twa do
5,abbreviate,yɛ tia
5,abbreviate,yɔ tia
5,abbreviate,yɛ tsia
5,abbreviation,tiayɛ
5,abbreviation,tlawayɔ
5,abbreviation,tsia-bayɛ
5,abdicate,po
5,abdicate,po
5,abdicate,pow
5,abdicate,tu ho akongua so
5,abdicate,tu ho akonnwa so
5,abdicate,tu ho egua do
5,abdomen,yafunu
5,abdominal,yam
5,abduct,wia
5,abduction,awl
5,abduction,awl
5,abduction,ewi
5,abductor,owifo
5,abed,kɛtɛ so
5,abed,kɛtɛ
5,abed,mpa mu
5,Abel,ahuhudeɛ
5,aberrant,ɛmfata
5,aberrant,ɛnnyɛ
5,aberration,abira
