page,twi,eng
23,"Asase terew, na Onyàmè ne panyïn.","Of all the wide earth, the Supreme Being is the elder."
25,Onyàmè,"Deriv. given by natives, onyã, to get, and mẽ, to be full, satiated, (by metonymy the sky, which is looked on as his abode)."
25,Onyankõpɔn,"The derivation of this word as Onyàmè-nkõ-pɔn (Onyàmè, alone, great one) seems borne out by noting the word in the Akyem dialect, where it is Onyan-koro-pɔn, (Onyàmè, one, great)."
25,Tweaduampɔn,The derivation of this is almost certainly twere-dua-ampɔn (lean on a tree and not fall).
25,Bore-Bore,"Derivation bọ ade, bọ ade (make things, make things), Creator."
25,Qtumfo,"Tumi, power, to be able, and fo the personal suffix."
25,Onyankõpɔn Kwame,"That Onyankõpɔn who was born on Saturday, or came into existence on a Saturday."
25,Odõmaŋkõmã,"Deriv. unknown, but the word is used somewhat as the equivalent of 'inventor'."
25,Ananse kokõrko,"The Great Spider, see note on No. 175 on ananse."
29,Obi kwan nsi (or ntwa) obi kwan mu,No man's path crosses another man's path
30,"Wope akã asem akyere Onyankõpoŋ a, kã kyere mframa.","If you wish to tell anything to the Supreme Being, tell it to the winds."
30,Obi nkyere abofra onyàmè.,No one shows a child the sky.
30,"Obi nkyere otomfo ba atono ; onim atono a, Onyàmè na okyeree no.","No one instructs the son of a smith how to forge ; if he knows how to forge, it is the Supreme Being taught him."
30,"Onyankõpoŋ ammã asonomfõa katakyi biribi a, omãã no ahõdannañ.","If the Supreme Being gave the swallow nothing else, He gave it swiftness in turning."
31,"Osansa se, ‘Ade a Onyàmé aye ṅhĩna ye’.","The hawk (poised aloft) says, ‘All things that the Supreme Being made are beautiful (good)’."
31,"Me a meda ayannya miṅhũ Onyankõpoṅ, na wo a wubutuw ho!","I, who lie on my back looking upwards, do not see the Supreme Being, so what do you expect who are sprawling there on your belly!"
31,"Onyankõpoṅ mpe aṣemmone, nti na okye diṅ mmiakõ-mmiakõ.","Because the Supreme Being did not wish any bad words, He gave a name to each thing, one by one."
31,Onyàmé ṅkrabea nni kwatibea.,The destiny the Supreme Being has assigned to you cannot be avoided.
32,"Wokra Onyankɔ̃pɔn a, obi nnyina ho","When you take leave of the Supreme Being, no one stands by"
32,"Onyàmé ayi no, asamaŋfo ayi no","The Supreme Being has driven him out, the spirit folk have driven him out"
33,"Asem a Onyàmé adi asie no, oteasefo nnaṅ no.","The fate (lit. words) that the Supreme Being has beforehand ordained, a human being does not alter."
33,"Onyankõpoṅ ṅkum wo na odasãni (oteasefo) kum wo, wuṅwu.","If the Supreme Being does not kill you but a human being kills you, you do not die."
33,"Onyankõpoṅ hye wo nsã kora mã na oteasefo kã gu a, ohyia wo so bio.","When the Supreme Being fills your gourd cup full of wine and a human being (comes and) pours it away, He will fill it up again for you."
34,"Onyàmè mã wo yare a, omã wo aduru.","If the Supreme Being gives you sickness, He (also) gives you medicine."
34,Onyàmè na owo basin fufu mã no.,It is the Supreme Being who pounds the fufu for the one without arms.
34,"Nnipa ũlãnã ye Onyàmé mma, obi nye asase ba.","All men are the children of the Supreme Being, no one is a child of the earth."
34,Odõmaŋkõmã bo owu mã owu kum no.,The Creator created death (only) for death to kill Him.
34,"Obosom a onnii guan da, ohũ guan aniwam' mpẽ a, ose, 'Eye srade'.","The fetish that has never had a sheep given to it, when it sees even the matter in the corner of a sheep's eye, says 'It is a fat one'."
36,Onyàmè.,A Supreme Being (see No. 1).
36,Abosom.,"'Fetishes', i. e. spirit, power, mana from or of the Supreme Being."
36,Suman.,"Minor deities, deriving their power from the abosom."
36,Suman.,"Amulets or charms, a lower grade of the above (3)."
36,Asaman.,"A spirit world, inhabited by asamanfo spirits (see note on No. 34, osaman)."
36,Bayifo.,"Witches and wizards, human vampires (see No. 56)."
36,Bonsam.,"Monsters, half human, half devil (see note on No. 56, sasabonsám)."
37,Obosom a oyẹ nnam na odi aboadé.,The fetish that is sharp (clever at predicting events) is the one that has offerings vowed to it.
37,"Obosom Kyeré nantwi, womfá mfa abonteŋ, womfa mfa afikyiri, nso ewo nea wodé fá.","The fetish Kyere's cow is not taken down the street, and is not led behind the town, nevertheless a way is found to take it."
37,"Obosom anim, woko no mperensã.",One goes before a fetish as often as one likes.
37,"Obosom so, yeŋko no mperensã.",One is not taken before a fetish a great number of times.
38,Abosom na ɛkyerɛ akomfo ntwahõ.,It is the fetishes who show the fetish priests how to turn when dancing.
39,"Obosomaketere hye ohye a, ohye.","If the fetish lizard (chameleon) is predestined to be burned, it will be burned."
39,"Obosomfó kã ne ṅkõnim, na ʋṅkã ne ṅkőgu.","The fetish priest tells of his victories, but not of his defeats. (That is, boasts of his successful prophecies, but says nothing about the unfulfilled ones.)"
39,"Eto sikyi ō, eto mfuaté ō, yenyã okomfo kum no.","Whether the die falls sikyi or whether it falls mfuaté, we are going to kill the fetish priest."
40,"Owu de ne pasũa fa ofi mu a, obosomfo aduru dan nsu.","When death encamps over against a household, the medicine of the fetish priest turns to water."
40,Okomfo uni ṅkontoro na wontwa obosonsofo ti.,"When the fetish priest has given a false prophecy, the fetish carrier's head is not cut off."
40,"Akomfo aduasã fĩre oyarefo a, wodi atoro.","When thirty fetish priests are looking after a sick man, (some of them) are lying."
40,"Sika nti, na okomfo mene agyan.","For the sake of gold dust, the fetish priest swallows an arrow."
41,Obi ṅkyerẹ ọkọmfo ba akọm.,No one shows the child of a fetish priest how to dance.
41,"Akọkọ wọ ṅkwã adurŭ a, aṅkã yẹde no tẅa abọsọm sọọ?","If a fowl possessed life-giving medicine, would it be taken and sacrificed over fetishes?"
41,Adurŭ a ẹfi kọmfọ nsam' ṅhĩnã yẹ aduru-pa.,All the medicine (charms) that come from the hands of the fetish priest are good (real) charms.
41,Obi mfa ntẅahõ nsisi kọmfọ.,No one deceives a fetish priest by dancing.
42,Oteasefo na omã osaman kon do otó.,It is the living man who causes the denizen of the spirit world to long for the mashed yam.
43,Osamaṅ-twẽn-twẽn.,A spirit or ghost that is seen at intervals by living persons.
44,"Woye ‘me-ńko-medi’ a, wunyã osamaṅ ńhũi.","If you are an ‘eat-by-myself’ person, you will often see a spirit."
44,Osamaṅ-pa hyira ne ba.,A good spirit (ghost) looks after its child.
44,"Nsamampow mu soduru, wo nĩ wu a, wo abusũa asã.","Bent stick in the spirit grove, when your mother is dead that is the end of your family."
45,Wo nĩ wu a.,"Lit. when your mother dies, in this case when the parent tree, on which the hooked stick grows, is cut or falls down."
46,Oyere (plu. -nom),Wife
46,Agya (lit. father),Uncle (paternal)
46,Wofa,Uncle (maternal)
46,Ena,Aunt (maternal)
46,Osewa,Aunt (paternal)
46,Wofasewa,Niece
46,Wofase,Nephew
46,"Oba (lit. child, son, or daughter)",Child
46,"Oba (lit. child, son, or daughter)",Niece
46,"Oba (lit. child, son, or daughter)",Nephew
46,Onua,Cousin
46,Agya ne nua ba,Cousin
46,"Nana (Nana-barima, Nana-ba)",Grandparent
46,Oba nana,Grandchild
46,Nanankanso (lit. 'Grandparent not touch (his) ear'),Great-grandparent
46,Ase,Father-in-law
46,Osew,Mother-in-law
46,Akonta,Brother-in-law
46,Okunu (lit. husband),Brother-in-law
46,Oyere (nua) (lit. wife),Sister-in-law
46,Akumma,Sister-in-law
47,"Nĩwamma nsae a, wofase uni ade","When (one's) mother's children are not finished, (one's) nephew does not inherit."
49,Osamane ahõfĩwam ne nunúm.,The smell of a ghost is the smell of the 'nunúm' shrub.
49,"Osamañ tẽe ne nsa kyia wo a, wopono wo de mu.","When a ghost puts forth its hand to greet you, you draw your's back."
49,Osamañ ṅtẽeñ teasefo ansã-na wadidi.,A ghost does not wait for the living to begin to eat before it begins to partake.
49,"Asamañ nni biribi a, ɛwọ ṅhyehye-wo-ákyi.","If the spirit world possesses nothing else, it has at least the power of its name."
50,"Asamaŋ, woŋko nsaŋ mma.",The spirit world is not a place one can visit and return from again (as a living man).
50,"Asamaŋ, wommănã.",Things cannot be sent to the spirit world (?). (Meaning obscure.)
50,"Asamantawa se enim pae a, ɛte sɛ atawa pa.","When the ‘spirit’ tawa tree declares it knows how to pop, at best it can hope to do so (only) like the real tawa tree (if as well even as that)."
50,"Onipa wu (wɔ) samampow mu a, womfá no mma ofie bio.","When a man dies in the spirit grove (cemetery), he is not brought back to the home again."
50,"Wunni samaŋ aduaŋ a, womfa wo nsa nto mu.","If you are not going to partake of the spirits’ food, do not put your hand in it."
50,"Wubu wɔ sumáŋ asumammá a, ekita wo.","If you call your amulet a trifling thing, it will seize hold of you (kill you)."
51,Opanyiṅ ano seṅ sumaṅ.,The advice (lit. mouth) of a man of ripe experience is more potent than (your) little guardian deity.
51,"Sumaṅ kafirmã nye biribi a, na eye amĩade.","If the little kafirma charm is good for nothing else, it is at any rate an adornment."
51,"Enni bãbiara a wotrã ẅe yisa hinam sumaṅ so a, enye nnam.","There is no special place where one should sit and chew guinea pepper and blow it out over one's tutelary deity, to make it a sharp (clever) little amulet."
51,"Obi mfa nea wawu sumaṅ ṅkã se, ‘Mã me ṅkwã nè akwãhõsaṅ’.","No one takes the amulet of one who has died (and whom therefore it has failed) and addresses it, saying, ‘Give me life and health’."
51,"Wo kra nye a, na wunyã asafo nsam' amanne.","If your soul is not a lucky one, you fall into the hands of a ‘company’."
52,Ṅkrabea nhĩnā usé.,All destinies are not alike.
52,"Wode wo kra kaw, na woantua no a, ofa wo abufuw.","If you are in debt to your soul, and have not paid it, (your soul) gets angry with you."
52,Obi ṅkwati Tanno nko aka ase.,No one consults the lots without calling on (his) fetish (lit. Tanno).
53,"Sasabonsám kò ayi a, osɔe obayifo fi.","When a sasabonsám (devil) goes to attend a funeral, he lodges at a witch's house."
54,Asasabonsam,"The asasabonsam is a monster of human shape, living far in the depths of the forest, and only occasionally met by hunters. It sits on tree-tops and its legs dangle down to the ground and have hooks for feet which pick up any one who comes within reach. It has iron teeth. There are female, male, and little sasabonsam. A large fungus growth very like a big cabbage in appearance often found growing on trees is called sasabonsam kyew. i. e. devil's hat."
54,Ayi,"Burial, funeral. Deriv. yi, to take away, to remove. (For custom of burying slaves, wives, &c., with a dead master, see note on No. 467.) The grave is a deep trench from 6 to 8 feet deep in one side of which a cavity is again dug, forming as it were a room, with three walls. (Cf. the Chinyanja mudzi, 'village' or last home.) The body is placed in this case, which is then fenced or screened off. Chiefs and men of importance are buried in the house in which they die, which then becomes their tomb."
54,Obayifo,"Deriv. bayi, sorcery (synonymous term ayen), a wizard, or more generally witch. A kind of human vampire whose chief delight is to suck the blood of children whereby the latter pine and die. Men and women possessed of this black magic are credited with volitant powers, being able to quit their bodies and travel great distances in the night. Besides sucking the blood of victims, they are supposed to be able to extract the sap and juices of crops. (Cases of coco blight are ascribed to the work of the obayifo.) These witches are supposed to be very common and a man never knows but that his friend or even his wife may be one. When prowling at night they are supposed to emit a phosphorescent light from the armpits and anus. An obayifo in everyday life is supposed to be known by having sharp shifty eyes, that are never at rest, also by showing an undue interest in food, and always talking about it, especially meat, and hanging about when cooking is going on, all of which habits are therefore purposely avoided. A man will seldom deny another, even a stranger, a morsel of what he may be eating, or a hunter a little bit of raw meat to any one asking it, hoping thereby to avoid the displeasure of one who, for all he can tell, is a witch or wizard. (See No. 76.) The obayifo can also enter into animals, &c., c. g. buffalo, elephant, snakes, and cause them to kill people. The obayifo is discovered by a process analogous to the 'smelling out' of witches among the"
55,"Sasabonsám té ase, wose oye obayifo, na menne se osi odum atifĩna odum nso sow mmoatia.","When a sasabonsám devil is down on the ground he is called a wizard, how much more when he is perched on top of an odum tree, and the odum tree is also bearing a crop of tailless monkeys as its fruit."
56,"Sɛ odum osi hɔ a, ose oyɛ Otanno, na obonsam abesi so . . . .!","When an odum tree stands there, it declares it is Tanno, but when a devil comes and perches on it . . . .!"
56,"Owu a akum wo nã nè wo agya vọ hɔ a, wunnye diṅ sɛ, ‘Aka me ṅkõ’.","When Death which has killed your mother and your father is there (with you again), you do not say to him, ‘I alone remain’."
56,"Owu bekum wo se nè wo nĩ a, nsũ sɛ, ‘Me se nè me nĩ awu’, na sũ sɛ, ‘Me nè m’agya nè me nã bɛko’.","If Death has come and killed your father and your mother, do not weep, saying, ‘My father and my mother are dead’, but weep and say, ‘I and my father and my mother will go (with you)’."
56,"Owu bekum wo na wofre no agya a, obekum wo, wofre no eṅã a, obekum wo.","If Death comes to kill you and you supplicate it, calling it ‘Father’, it will kill you, and if you supplicate it, calling it ‘Mother’, it will kill you."
56,Owu adare nnoŋ fãkõ.,Death's sickle does not reap one place alone.
