page,eng,twi
3,A.D,Y.B.
3,Aboriginal,Fa mfiase kuromfo ho
3,Absolutism,Kankabi aban nhyehyɛe
3,African civilization,Afrika ɔmanhyɛ
3,Age of Reason,Nsusuwii Bere
3,agrarian,fa afuwyɛ ho
3,AIDS/HIV,AIDS/HIV
3,allegiance,ɔman nokwaredi
3,alliance,nkabom
3,allies,akyitafo
3,amnesty,bɔnefakyɛ
3,ancestry,Anato
3,animism,abɔde biara wɔ ɔkra gyidi
3,annex,nkorabata
3,anthropology,nnipa fibea ne wɔn ho nsɛm ho nhomasua
3,anti-Semitic,tia Yudafo
3,apartheid,nnipa mu mpaepaemu
3,appeasement,yɛ de sɔ ani
3,Arab League,Arab Nkabomkuw
3,archeology,fam tutu nhomasua
3,aristocracy,abusua tumidi
3,Art,Nnipa ho nsɛm adesua
3,artifacts,tete anwenne
3,Asia,Asia
3,assimilate,sɛ wogye biribi tom
3,Atlas,nsase mfonin nhoma
3,autocracy,nhyeɛsoɔ tumidi
3,autonomy,de ne ho
3,B.C.,A.Y.B.
3,backgrounds,nkyi ahorow
3,Balance of Power,Tumi a Wɔkyɛ
3,Balkans,Balkanfo
3,battle,ɔko
3,Belief systems,Gyidi ahorow
3,belligerent,ntɔkwawpɛ
3,Berlin Airlift,Berlin Wimhyɛn
3,Berlin Wall,Berlin Fasu
3,bible,bible
3,Black Death,Owu Tuntum
3,blockade,kwansiw
3,Bolshevik Revolution,Bolshevik Aban Sesa
3,boundaries,hye ahorow
3,bourgeoisie,adefo ne ahiafo adantam
3,Boxer Rebellion,Bɔksa Atuatew
4,Bronze Age,Kɔbere Bere
4,bubonic plague,bubonik yare
4,Buddhism,Buddha som
4,Bushido,Buhyido
4,Byzantine,Bisantin
4,Capital,Ahenkurow
4,capitalism,aguadi nhyehyɛe a ankoroankoro tumi pɛ agyapade
4,Caribbean,Caribbean mantam
4,cartel,kuw
4,cash crop,mfuwde a wodua tɔn
4,caste system,nnipa mu nkyekyem
4,Catholicism,Katolik som
4,cause,fibea
4,censorship,ade a wɔbara
4,Central America,Amerika Mfinimfini
4,century,mfe ɔha
4,change,nsakrae
4,charter,adwumakuw mmara krataa
4,child labor,mmofra adwumaden
4,China,China
4,Chinese,Chinani
4,Christianity,Kristosom
4,chronological order,nnidisonnidi
4,church,asɔre
4,circumnavigate,ntwaho akwantu
4,citizen,ɔmanba
4,city-state,Kurow-ɔman
4,civil disobedience,ɔman so asɔɔden
4,civil war,ɔman mu ɔko
4,civilizations,aman ahorow
4,clan,abusuakuw
4,classical civilizations,tete aman ahorow
4,clergy,asɔfokuw
4,climate,wim tebea
4,coalition,nkabom
4,Cold War,Amanyɔsɛm mu Ntawantawadi
4,collective,nkabom kwan so
