page,eng,twi,gaa
1,mean (in the) -time,ntam',
1,mean (in the) -time,nsem yi gyinam' no,
1,mean (in the) -time,ansā,
1,mean (in the) -time,eno ansā,
1,mean (in the) -time,ebere yim',
1,mean (in the) -time,,teṅ
1,mean (in the) -time,,teṅbe
1,mean (in the) -time,,be neṅ
1,"mean, means",ade,
1,"mean, means",adwinne,
1,"mean, means",adeyede,
1,"mean, means",,nii
1,"mean, means",,ṅānii
1,meaning,tirim (asem),
1,meaning,ase,
1,meaning,,yiṅ
1,meaning,,yitšoṅ
1,meaning,,šiši
1,measles,ntobūro,
1,measles,,ntoblo
1,measure,nsusuwi,
1,measure,asusude,
1,measure,susudua,
1,measure,susuhama,
1,measure,,susumo
1,measure,,-nō
1,measure,,-kpā
1,measure,,-tšo
1,measure,,neṅtšo
1,measurement,osusuw,
1,measurement,nsusuwi,
1,measurement,,susumo
1,measurement,,kā
1,meat,eṅām,
1,meat,aduaṅ,
1,meat,,lo
1,meat,,niiyenii
1,sweet meats,nnoṅonnoṅowade,
1,sweet meats,,dokodokoṅii
1,meat-stew,frofrow,
1,meat-stew,,flou
1,meat-stew,,flouflou
1,meddle (with),de nehō fra mu,
1,meddle (with),gyigye mu,
1,meddle (with),,he bo bo
1,meddle (with),,ke he futu mli
1,mediate,pata,
1,mediate,,kpātā
1,mediate,,damo mli
1,mediate,,-teṅ
1,mediate,,tša
1,mediator,opatafo,
1,mediator,ntam'gyinafo,
1,mediator,,kpātālo
1,medical art,aduruye,
1,medical art,oyaresa hō nimdee,
1,medical art,,tšaloṅā
1,medical art,,tšamo
1,medical art,,tšofāfemo
1,"medicament, medicine",aduru,
1,"medicament, medicine",odúdó,
1,"medicament, medicine",,tšofā
1,meditate,susuw hō,
1,meditate,dweṅ asem,
1,meditate,da dweṅ,
1,meditate,,susu he
1,"meek, to be-",dwo,
1,"meek, to be-",ani dwo,
1,"meek, to be-",ani kā ase,
1,"meek, to be-",,hie ba ši
1,meekness,odwo,
1,meekness,mmerew,
1,meekness,-ye,
1,meekness,,bleōfemo
1,meet,hyia,
1,meet,to,
1,meet,hyia mu,
1,meet,kūa ano,
1,meet,ano hyia,
1,meet,,kpe
1,meet,,kpe hie
1,meet,,na ti
1,meet,,yele
1,meet,,kūa na
1,meet -face to face,bo anim,
1,meet -face to face,di mmoanim,
1,meet -face to face,ani ye anaṅ,
1,meeting,ṅhyia,
1,meeting,ṅhyiamu,
1,meeting,,kpē
1,meeting,,kpemo
1,meeting,,mlikpē
1,meeting,,nakpē
1,meeting -place,ahyiae,
1,meeting -place,,nakpēhe
1,melange,mfrafrae,
1,melange,,futumo
1,melody,dwontobea,
1,melody,,gbē
1,melon,fere,
1,melon,aṅowatere,
1,melon,,watere
1,melon,,aṅowatere
1,melt,nāṅ,
1,melt,hono,
1,melt,,sere
1,melt,,sele
2,member,hɔnam (hɔ) ade,henɔ
2,member,kwā,gwabɔlɔ
2,member,baguani,asafonyo
2,member,osafoni,
2,memory,ti,yi
2,memory,tirim,yitsɔn (wolo)
2,memory,nkae,
2,men,mmarima,hi
2,men,nnipa,mei
2,men,adesā mma,
2,menace,tēetēe,fǎ
2,menace,bɔ kɔkɔ,
2,mend,sā,tša
2,mend,ta mu,tša he
2,mend,tuatua (mu),ta mli
2,mend,yɛ yiye,sa
2,mendicant,ohūafo,sisɛlɔ
2,mendicate,hūa,sisɛ
2,mendicate,sɛrɛsɛrɛ ade,
2,menstruation,bra,tšusɛ
2,menstruation,asabu,-yā
2,menstruation,,gbesɛ
2,menstruation,,-yā
2,mention,bɔ diŋ,tā
2,mention,,tši tā
2,mention (n.),dimmo,tātši
2,mercery,(seda a.s. sirikyi) aguadi,(seda) dšrayeli
2,merchant,oguadini,dšrayelilɔ
2,merchant,ɔbatani,guoyelɔ
2,mercy,mmɔborohunu,mlitšɔ
