page,eng,twi
4,Akan customary laws,Akan amammara
4,Akan people,Akanfoɔ
4,Akan states,Akan man
5,Paramount Chief or King,Omanhene
5,Queen-Mother,Ohenma
5,Head Chief or Chief,Ohene
5,Head Chief or Chief,Opakani
5,Sub-Chief,Odikro
5,Chief of the Body Guard,Ankobeahene
5,Chief of the Personal Guard,Jasehene
5,Chief of the Rear Guard,Kyidomhene
5,Chief Councillor,Osomanyawa
5,Chief Councillor,Omankrado
5,Stool-Holders,
5,Stool Heir,Odehye
5,Linguist or Spokesman,Okyeame
5,Stool Carrier,Akonnuasoafo
5,State Treasurers,Sanna
5,State Treasurers,Fotosanfo
5,Gold Breast Plate Bearers,Nkrafo
5,Gold Breast Plate Bearers,Awoso
5,Gold Breast Plate Bearers,Nkrafohene
5,Court Criers or Heralds,Nsenefo
5,Palanquin Bearers,Asoamfo
5,State Insignia Bearers,Tumtufo
5,State Insignia Bearers,Mmenatofo
5,State Insignia Bearers,Mmfenasoafo
5,State Insignia Bearers,Bankyiniyetufo
5,Drummers and Horners,Asokwafo
5,Drummers and Horners,Akyeremadefo
5,Drummers and Horners,Mpintinkafo
5,Executioners,Abrafo
5,Minstrel Poets,Memafo
5,Steward of the Chamber,Dabehene
5,Councillors,Atrafo Mpanyinfo
6,The Legislature,Okyeman Mpanyin Nhyiam
6,Fetish Oath,
6,A Chief's Personal Oath,Brepo or Nhyira
6,The National Oath,Okyenhene Ntam
6,Swearing oath with someone,Ntam Keka
6,Swearing oath upon someone,Ntam Kãguso
6,Violating oath,Ntamto
6,Procedure by Summons,Fre obi wo mpanyin anim
6,Criminal Case,Amanenya
6,On hearing a case,Di Asem
6,Judgment,Atemmu
7,First Ohum,Ohum-Kan
7,Second or Last Ohum,Ohum-Kyire
7,Purification Festival,Odwira
7,Grand Odwira,Odwira-Tuo
7,Celebration in the Mausoleum,Banmukoro
7,Wednesday Celebration,Wuku-Dae
7,Sunday Celebration,Kwasidae
7,Infant Betrothal,Asiwa
7,Ceremony of Divorce,Hireguo
7,Satisfaction for Adultery,Ayefare
7,Confession of Adultery,Wiakyere
7,Seduction,Asɔmmɔ
7,Table of Ayefare Fees,Ayefare Boɔ
7,Family Tie,Kahire or Ekal
8,Stool Property,Ahennwa
8,Akan Belief in a Hereafter,Asamando
8,Akim Abuakwa Councils,Akyem Abuakwa Mpaninfoɔ
8,The Okyeman (State) Council,Okyeman Mpaninfoɔ
8,The Amantoo-mmiensa Council,Amantuo Mmiensa
8,Akan Order of Precedence,Akanfoɔ Dibebea
8,Guardian Spirits and Genii,Kra
8,Kings of Akim Abuakwa (Asona Clan),Akyem Abuakwa Ahemfo (Asona Abusuapanin)
8,A Phylogeny of the Akan Clans,Akan Abusuakuo
8,Gold Weights used by the Akans,Mrammou
8,Akan Names of the Months,Akan Abosome Din
8,Selections from the Songs of the Minstrels,Kyerɛkyerɛfoɔ Dwom
9,Minstrels,Amemafo
9,Executioners,Abrafo
9,Creator,Odomankama
9,Esen,Esen
9,Drummer,Okyerɛma
9,Executioner,Kwawu Kwabrafo
10,Akan tribes,Akanfo
10,circumcision,
10,tattooing,
11,Akan,
11,Fanti,Fante
11,Twi,Twi
11,Tshi,Twi
11,Ashanti,Asante
11,Akyems,Akyem
11,Akims,Akyem
12,The King of Ashanti,Osantehene
12,The King of Akim,Okyenhene
12,The King of Ashanti treats with none but the King of Akim on familiar and equal footing,Okyenhene nkɔ ara na Osantehene ne no di nsawoso
12,The most binding and dreadful of Ashanti oaths,Koromante
13,Akan,Akan
13,Omanhene,Ɔmanhene
13,Akim Abuakwa,Akyem Abuakwa
13,Akim,Akyem
13,Ashanti,Asante
13,Twi,Twi
13,Asen,Asen
14,Akan,Akan
14,Fanti,Fante
14,Ashanti,Asante
14,Twi,Twi
15,feudal services,
15,escheat,
15,gift,
15,forfeiture,
15,aids,
15,reliefs,
15,fee simple,
15,estate tail,
15,life estate,
15,land tenure,
15,relief,
15,funeral-help-thing,Ayibuadie
16,Akan funeral observances payment to a chief,Ayibuadie
16,bathing or purification,guare
16,thing or gift for having helped in the funeral,Ayi-boa-de
16,thing possessed on death-inheritance,Awunyade
16,thing given-gift,Akyede
16,tax-toll,Tuo
16,tax-toll,too
16,seizing of pledge-forfeiture,Adwoyie
17,free born,Odehye
17,head of a large Akan family,nana
17,A bought person,akoa
17,"one, single, lonely",okoro
17,a being removed but one stage from the mere animal,Otwea
17,"the pure, the first race",Akan
17,priest,Okomfo
19,King,Omanhene
19,The Kyebi Council,Ankobea-ne-Apesemaka-ne-Kyidom
19,The Okyeman Council,Okyeman
19,The Council of Three Counties,Amantoo-mmiensa
19,A chief with the right to ride in a Palanquin,Opakani
19,Palanquin,Apakan
19,Divisional Chief,
20,Ankobea,Ankobea
20,Ankobea-Chief,Ankobeahene
20,Amomam Stool,Amomam
20,Jase sub-part,Jase
20,Jase-Chief,Jasehene
20,State messengers and State emblem-bearers,nhenkwa
20,Apesemaka,Apesemaka
20,Abontendom-hene of Kibbi,Abontendomhene
20,Apesemaka-hene,Apesemakahene
20,Principal Chief,
20,Divisional Chief,
20,Odikro,Odikro
20,Kings,Amanhene
20,Omanhene,Omanhene
20,Queen Mother,Ohemma
21,The leading and senior party on the Kibbi Council,Apesemaka
21,The third party on the Kibbi Council,Kyidom
21,The senior Chief of the Kyidom,Kyidomhene
21,The stool occupied by the Kyidomhene,Ampebame Stool
21,The occupier of the second stool of the Kyidom,Kyidom Panin
21,The stool occupied by the Kyidom Panin,Jase Stool
21,The stool of the Ankobea,Ankobea Stool
21,The stool of the Apesemaka,Apesemaka Stool
21,The stool of the Kyidom,Kyidom Stool
21,The sovereign head of Akim Abuakwa,Omanhene
21,The national council of Akim,Okyeman Council
21,The council of the eight chiefs,Amantoo-mmiensa Council
21,The chairman or leader of the Okyeman Council,Adontenhene
22,Omanhene,Omanhene
22,Okyeman Council,Okyeman
22,Akim Abuakwa,Akim Abuakwa
22,Kibbi,Kibi
22,Adontenhene,Adontenhene
23,Sovereign-President,
23,Linguist,Okyeame
23,Nifahene,Nifahene
23,Benkumhene,Benkumhene
23,Adontenhene,Adontenhene
23,Omanhene,Omanhene
23,Akan,Akan
24,Amantoo-mmiensa Council,Amantuo-mmiensa
24,Council of Three Counties,Amantuo-mmiensa
24,Chief or Odikro,Odikro
24,Drum,Asafo Pranpran
24,Stool,Ofori Akonnua
25,Council of Three Counties,Amantoo-mmiensa
25,Paramount Chief,Omanhene
25,Companies of young men,Asafomma
25,Asafo company,Asafo
25,Okyeman Council,Okyeman
25,Stool,
26,company captains,Asafoatsefo
26,captaincy,Asafoatse
26,Akim Abuakwa,Akim Abuakwa
26,Asafo,Asafo
26,Amantoo-mmiensa Council,Amantoo-mmiensa
26,Kibbi,Kibbi
26,Okyeman Council,Okyeman
26,Kibbi Council,Kibbi
26,Ofori Panin Stool,Ofori Panin
26,Apadja-Ofori,Apadja-Ofori
26,Akantamasu,Akantamasu
27,Amantoo-mmiensa,Amantuo-mmiensa
27,Okyeman Council,Okyeman
27,Executive Council,
27,Kibbi Executive Council,
27,Asafo people,Asafo
27,Asafo leaders,Asafoatsefo
28,Akim Abuakwa,
28,Chiefs,
28,democracy,
28,limited monarchy,
28,councils of hereditary and elected chiefs and councillors,
29,Creator,Odomankama
29,Drummer,Kyerɛma
29,Executioner,Kwabrafoɔ
30,Court Crier,Esen
30,"A person in full attire, often associated with the royal household or specific ceremonial roles",Akrafo
30,Paramount Chief,Omanhene
31,Akan State system,Akan
31,Akim Abuakwa practice,Akyem Abuakwa
31,Fetish system,
31,Ga tribe,Ga
31,Adangwe tribe,Adangme
31,Chief or King of a Ga community,Mantse
